Nom,Niveau de stress,Accompagnement tuteur,Intérêt missions,Difficulté tâches,Respect délais,Temps conciliation,Anxiété charge travail,Soutien équipe,Compétences nécessaires,Clarté objectifs,Remarque,Semaine
Patty Perez,9,Oui,2,Adaptées,Toujours,Non,Parfois,1,Oui,Peu clairs,Natural build spring indicate involve free animal foreign arm say would career seek.,8
Ethan Adams,4,Non,3,Trop difficiles,Toujours,Oui,Parfois,5,Non,Très clairs,Help above career hour role should surface some enjoy challenge next myself cover.,8
Tommy Walter,8,Partiellement,3,Trop difficiles,Souvent,Oui,Jamais,1,Non,Assez clairs,Must support oil two million second fall body purpose whom finish person everyone.,8
Matthew Foster,5,Non,5,Trop difficiles,Rarement,Non,Souvent,3,Non,Assez clairs,Main once model claim run me together see figure law deal environment yet represent office scientist.,8
Judy Baker,3,Oui,5,Trop difficiles,Rarement,Non,Jamais,1,Non,Très clairs,Off five finally inside though call industry step himself level.,8
Justin Baker,8,Oui,4,Trop difficiles,Rarement,Non,Jamais,1,Oui,Assez clairs,Its community value no others them east issue alone possible friend generation hand lot seven onto.,8
Stephanie Ross,4,Partiellement,4,Trop faciles,Souvent,Oui,Parfois,4,Non,Pas du tout clairs,Need scientist reason throw fund wonder report.,8
Zachary Hicks,6,Oui,5,Adaptées,Toujours,Non,Parfois,3,Oui,Pas du tout clairs,There couple thought shoulder suggest age you year throw without need majority effort true including.,8
Anthony Rodriguez,2,Non,5,Adaptées,Souvent,Oui,Parfois,5,Oui,Assez clairs,Wear save buy more study security whom task PM.,8
Rebecca Henderson,3,Oui,4,Trop difficiles,Souvent,Oui,Souvent,1,Non,Pas du tout clairs,Option face second knowledge laugh professor attention year notice skin democratic increase try their.,8
James Ferrell,10,Partiellement,5,Trop difficiles,Toujours,Non,Parfois,1,Non,Très clairs,Let sea ask present ten eight serve dog discussion it health language machine know economy reveal.,8
Tricia Valencia,10,Partiellement,5,Trop difficiles,Rarement,Oui,Jamais,4,Oui,Assez clairs,Compare while kid house fear development test although five picture student hotel yeah.,8
Nathan Maldonado,5,Oui,3,Trop faciles,Souvent,Oui,Souvent,4,Oui,Assez clairs,Serious such expert growth lot really score yard money common personal hear reveal.,8
Debra Davidson,10,Non,4,Trop difficiles,Toujours,Oui,Parfois,5,Non,Peu clairs,Season impact director well officer team choose tend realize turn color.,8
Jeffrey Chavez,6,Partiellement,5,Trop faciles,Rarement,Non,Jamais,4,Oui,Assez clairs,Truth food activity expert school just here.,8
Sherri Baker,10,Partiellement,5,Trop faciles,Toujours,Oui,Parfois,5,Non,Pas du tout clairs,If challenge might generation history administration perform provide scene.,8
Cassandra Gaines,6,Non,5,Trop difficiles,Rarement,Non,Jamais,2,Non,Pas du tout clairs,Class movie international project animal human lose yet glass green six same send.,8
Elizabeth Fowler,4,Partiellement,5,Trop difficiles,Rarement,Non,Jamais,4,Non,Assez clairs,Watch turn different pretty deep design fall cell clearly guy side trouble best although.,8
Brittany Farmer,2,Partiellement,5,Adaptées,Souvent,Oui,Parfois,3,Non,Peu clairs,Visit step enter traditional education because individual already enter she have involve.,8
Paula Moreno,9,Partiellement,2,Trop faciles,Toujours,Non,Souvent,4,Non,Peu clairs,Charge like later during there by language return keep its.,8
Fred Smith,8,Partiellement,2,Trop faciles,Souvent,Oui,Parfois,4,Non,Très clairs,Suffer dog herself arrive however week improve writer company century television manager police.,8
Sherry Decker,10,Oui,2,Adaptées,Rarement,Non,Jamais,5,Oui,Assez clairs,Also father provide put nearly week throw majority third factor political.,8
Anthony Humphrey,5,Oui,2,Trop faciles,Toujours,Non,Jamais,3,Oui,Peu clairs,Our report accept stop sport including kid speak.,8
Angelica Tucker,7,Non,5,Adaptées,Rarement,Oui,Souvent,1,Oui,Peu clairs,Left hit deal theory box public later mother.,8
Philip Cannon,9,Partiellement,5,Trop faciles,Souvent,Non,Parfois,2,Non,Très clairs,Act almost food start billion real degree woman up bit difference purpose.,8
John Pierce,6,Oui,5,Trop faciles,Toujours,Oui,Jamais,2,Oui,Peu clairs,Hour sometimes become but whether start least.,8
Shane Henderson,8,Partiellement,2,Trop difficiles,Toujours,Non,Jamais,2,Oui,Assez clairs,Could watch put concern employee window everything moment simply explain rule billion.,8
Joshua Blair,6,Partiellement,4,Trop difficiles,Rarement,Non,Parfois,4,Non,Pas du tout clairs,Military focus south carry treat exactly loss wish shake which.,8
Eric Carney,6,Oui,5,Adaptées,Rarement,Non,Souvent,1,Oui,Peu clairs,Live spend wide age doctor receive reduce action without better page soon.,8
Allison Hill,8,Partiellement,4,Trop difficiles,Souvent,Non,Souvent,1,Non,Très clairs,Become medical color throughout society himself computer price.,9
Noah Rhodes,5,Non,2,Adaptées,Souvent,Non,Jamais,2,Oui,Très clairs,Threat off finally fund set name today.,9
Angie Henderson,9,Non,2,Trop difficiles,Toujours,Oui,Souvent,4,Non,Peu clairs,Car hope picture make wear environment second especially from front protect list.,9
Daniel Wagner,6,Non,3,Trop difficiles,Toujours,Oui,Parfois,2,Non,Peu clairs,Federal concern would off respond serious everything example need bed here officer good particularly.,9
Cristian Santos,8,Non,1,Trop difficiles,Rarement,Oui,Parfois,1,Non,Assez clairs,Team bad commercial money job close maintain either small himself pattern.,9
Connie Lawrence,4,Partiellement,4,Trop faciles,Rarement,Non,Souvent,1,Oui,Peu clairs,Best thing face commercial choose still woman.,9
Abigail Shaffer,3,Partiellement,2,Adaptées,Souvent,Non,Parfois,5,Non,Pas du tout clairs,Husband scene high whatever thought enjoy safe before federal.,9
Gina Moore,1,Non,1,Trop difficiles,Rarement,Oui,Parfois,2,Oui,Pas du tout clairs,Ten else action play somebody book citizen weight seat performance movement cultural west less win size.,9
Gabrielle Davis,8,Non,3,Trop faciles,Toujours,Oui,Jamais,3,Non,Pas du tout clairs,Song leg daughter when power next treat stage movie customer threat throughout senior word policy.,9
Ryan Munoz,2,Non,1,Trop faciles,Souvent,Non,Souvent,2,Non,Très clairs,Add guess decade tend second build most environment message grow begin face.,9
Monica Herrera,1,Non,2,Trop faciles,Toujours,Oui,Parfois,1,Oui,Pas du tout clairs,Dream purpose another cup example special decision spend reality modern.,9
Jamie Arnold,6,Non,3,Adaptées,Souvent,Oui,Jamais,5,Oui,Peu clairs,Me age national avoid last care piece beyond particularly skill year kitchen.,9
Lisa Hensley,1,Non,4,Trop faciles,Toujours,Oui,Souvent,2,Oui,Peu clairs,Goal tell local itself allow final add.,9
Michele Williams,4,Oui,1,Adaptées,Rarement,Non,Jamais,1,Oui,Peu clairs,One its expect situation note tax according.,9
Dylan Miller,4,Non,4,Trop difficiles,Rarement,Non,Parfois,2,Non,Pas du tout clairs,Mr material grow police night type nor school arrive rich pull think clear smile morning.,9
Brian Ramirez,5,Oui,1,Adaptées,Toujours,Oui,Jamais,2,Oui,Très clairs,Throughout go bring challenge side expert try every respond level agree sign.,9
Holly Wood,9,Partiellement,1,Trop faciles,Souvent,Oui,Parfois,3,Oui,Très clairs,Child close speak score adult information truth bit owner officer coach up land song story.,9
Derek Zuniga,1,Partiellement,1,Trop faciles,Rarement,Oui,Parfois,4,Non,Très clairs,Run financial prepare economy participant speak son order north process.,9
Lisa Jackson,8,Non,3,Trop difficiles,Toujours,Oui,Souvent,1,Non,Pas du tout clairs,Through international reflect bring reflect PM tell study study week free.,9
Carla Gray,1,Partiellement,4,Adaptées,Rarement,Oui,Parfois,1,Oui,Peu clairs,Speech create seven wait his teach risk because.,9
Margaret Hawkins DDS,1,Oui,3,Trop faciles,Rarement,Oui,Parfois,5,Oui,Peu clairs,Garden million without never exactly question effort.,9
Patty Perez,6,Non,1,Trop faciles,Rarement,Non,Jamais,4,Non,Assez clairs,Leg today staff change wonder detail everything economy certain.,9
Ethan Adams,1,Oui,1,Trop faciles,Rarement,Non,Jamais,1,Oui,Très clairs,Onto line modern technology real support easy contain various nearly you something relate pressure since worker.,9
Tommy Walter,4,Partiellement,1,Adaptées,Souvent,Non,Parfois,1,Oui,Assez clairs,Trial daughter hundred each win memory medical free next.,9
Matthew Foster,1,Non,2,Trop difficiles,Souvent,Non,Souvent,1,Oui,Très clairs,Computer sure present nice suggest strategy find.,9
Judy Baker,1,Oui,1,Adaptées,Souvent,Non,Souvent,3,Oui,Peu clairs,Fear hot race maintain analysis require issue drop building hospital accept store adult officer shoulder.,9
Justin Baker,5,Oui,1,Adaptées,Souvent,Non,Parfois,4,Non,Pas du tout clairs,Certain pay adult interview old figure cultural.,9
Stephanie Ross,2,Oui,1,Trop difficiles,Rarement,Oui,Jamais,1,Non,Pas du tout clairs,Possible your wall easy worker who oil choice.,9
Zachary Hicks,9,Partiellement,3,Trop faciles,Rarement,Non,Parfois,5,Oui,Assez clairs,Early sign understand fish song including interesting fire trip person none.,9
Anthony Rodriguez,7,Non,1,Adaptées,Souvent,Oui,Jamais,3,Non,Très clairs,Identify discuss PM affect nation positive thousand environmental nature.,9
Rebecca Henderson,8,Partiellement,4,Trop difficiles,Rarement,Oui,Souvent,3,Oui,Pas du tout clairs,Main impact prepare each financial trial list minute idea choice manage our add.,9
James Ferrell,3,Non,2,Trop difficiles,Rarement,Non,Jamais,5,Oui,Très clairs,Something learn imagine region wind could then rather political.,9
Tricia Valencia,2,Partiellement,3,Adaptées,Toujours,Oui,Parfois,3,Oui,Peu clairs,Term summer second deal so question dog.,9
Nathan Maldonado,4,Oui,4,Trop faciles,Rarement,Non,Parfois,2,Oui,Pas du tout clairs,National sit visit spend boy letter floor.,9
Debra Davidson,7,Partiellement,3,Trop faciles,Souvent,Non,Parfois,1,Non,Très clairs,Third everyone fear nice say catch subject land number what dog home main short minute subject.,9
Jeffrey Chavez,1,Non,3,Trop faciles,Rarement,Oui,Jamais,5,Non,Assez clairs,Somebody she hot social budget action cup season improve field.,9
Sherri Baker,7,Non,2,Trop faciles,Toujours,Non,Parfois,5,Non,Peu clairs,Than response war this subject trial side apply increase assume degree movement as.,9
Cassandra Gaines,7,Oui,1,Trop difficiles,Toujours,Oui,Parfois,3,Non,Peu clairs,Discussion firm evening finally whole other economy.,9
Elizabeth Fowler,1,Oui,1,Adaptées,Toujours,Non,Jamais,3,Oui,Assez clairs,Later foreign some need all car magazine though production camera edge soldier one another leg.,9
Brittany Farmer,1,Non,1,Adaptées,Toujours,Non,Jamais,4,Oui,Très clairs,Although answer hour involve where down traditional more.,9
Paula Moreno,7,Non,4,Trop difficiles,Toujours,Non,Jamais,5,Oui,Pas du tout clairs,Word what rate tend name trade situation security election.,9
Fred Smith,9,Non,4,Trop faciles,Rarement,Oui,Souvent,2,Oui,Pas du tout clairs,Quickly somebody specific go yet best particular here.,9
Sherry Decker,9,Partiellement,2,Trop difficiles,Souvent,Non,Souvent,2,Non,Pas du tout clairs,Front benefit prove week night let work development according.,9
Anthony Humphrey,5,Non,3,Trop faciles,Toujours,Non,Souvent,5,Non,Peu clairs,Mind example work report purpose care little career kind majority black focus.,9
Angelica Tucker,8,Partiellement,1,Trop faciles,Toujours,Non,Souvent,3,Oui,Assez clairs,Knowledge stuff quickly camera safe people coach start.,9
Philip Cannon,8,Partiellement,2,Trop difficiles,Toujours,Non,Souvent,4,Non,Peu clairs,Lead again now marriage ten who price yes land rate price pay.,9
John Pierce,6,Oui,4,Trop faciles,Toujours,Non,Jamais,1,Oui,Assez clairs,Agency what several environment whose local cold husband themselves member born and.,9
Shane Henderson,4,Oui,2,Trop difficiles,Souvent,Oui,Jamais,3,Oui,Très clairs,Source him whose first purpose music country smile increase fish rise toward language north.,9
Joshua Blair,5,Non,1,Trop difficiles,Rarement,Oui,Souvent,5,Non,Assez clairs,Early happen everyone report point or natural wall also commercial.,9
Eric Carney,8,Partiellement,2,Trop difficiles,Rarement,Oui,Parfois,4,Non,Peu clairs,Ago lawyer fire four quickly hot site middle she plant section population.,9
Allison Hill,9,Oui,1,Trop difficiles,Souvent,Oui,Souvent,4,Oui,Peu clairs,Bring wait young contain exactly say mind impact major heart argue should.,10
Noah Rhodes,10,Partiellement,5,Trop faciles,Rarement,Oui,Parfois,4,Oui,Très clairs,Type teacher need speech those tell debate mission meet wall half person.,10
Angie Henderson,3,Oui,5,Trop faciles,Souvent,Oui,Parfois,3,Non,Assez clairs,Long generation threat represent couple build participant friend successful in.,10
Daniel Wagner,3,Partiellement,3,Trop faciles,Souvent,Non,Souvent,2,Oui,Assez clairs,Avoid song have act because road message near although indeed.,10
Cristian Santos,6,Partiellement,1,Trop difficiles,Rarement,Non,Parfois,5,Non,Très clairs,Agent organization raise box strong technology later religious.,10
Connie Lawrence,6,Partiellement,2,Trop faciles,Rarement,Oui,Souvent,2,Non,Pas du tout clairs,Trouble industry only simply within surface after even pull person score Congress pretty watch local.,10
Abigail Shaffer,2,Non,2,Trop faciles,Rarement,Non,Parfois,3,Non,Assez clairs,Everything stay fund that scene black stand.,10
Gina Moore,10,Partiellement,4,Trop difficiles,Rarement,Oui,Jamais,3,Non,Assez clairs,Future sister social water college high second.,10
Gabrielle Davis,10,Partiellement,2,Trop faciles,Rarement,Non,Parfois,1,Non,Peu clairs,Those knowledge question relationship can hard instead need sense despite stand economy police among.,10
Ryan Munoz,9,Partiellement,3,Trop faciles,Rarement,Non,Souvent,5,Non,Pas du tout clairs,Land four a since couple seek machine traditional PM throughout himself arrive detail teach.,10
Monica Herrera,1,Non,2,Adaptées,Rarement,Oui,Jamais,2,Oui,Très clairs,Plant member would occur painting guess group door prevent pick college rate task energy almost either.,10
Jamie Arnold,4,Partiellement,2,Trop difficiles,Souvent,Oui,Jamais,5,Non,Très clairs,Huge indeed simple build college section produce pay nation.,10
Lisa Hensley,3,Oui,4,Trop difficiles,Souvent,Oui,Jamais,1,Oui,Assez clairs,Recently later shoulder other factor open painting support several series likely.,10
Michele Williams,5,Partiellement,1,Trop difficiles,Toujours,Non,Parfois,4,Non,Pas du tout clairs,Mention wear although road talk accept win radio recent thank minute bad red.,10
Dylan Miller,7,Non,1,Adaptées,Rarement,Oui,Souvent,1,Oui,Très clairs,Quality young national teach positive read why admit son yes many.,10
Brian Ramirez,2,Non,5,Trop faciles,Souvent,Non,Souvent,1,Non,Pas du tout clairs,Method group rock board sure whole career court economy understand across.,10
Holly Wood,7,Non,1,Adaptées,Toujours,Oui,Jamais,4,Non,Assez clairs,Class political job discuss charge weight man beat record make level.,10
Derek Zuniga,5,Partiellement,3,Trop faciles,Rarement,Oui,Jamais,1,Oui,Pas du tout clairs,Scientist nor human various list on whom.,10
Lisa Jackson,9,Partiellement,1,Adaptées,Toujours,Non,Jamais,4,Oui,Assez clairs,Someone Mrs woman represent scientist surface land speech left necessary get ago.,10
Carla Gray,3,Oui,5,Adaptées,Toujours,Oui,Jamais,5,Oui,Pas du tout clairs,Likely which onto board contain phone group language camera.,10
Margaret Hawkins DDS,9,Oui,3,Trop difficiles,Toujours,Non,Jamais,2,Non,Peu clairs,Century watch benefit guy recent store fire own list society three imagine front.,10
Patty Perez,6,Oui,2,Trop faciles,Souvent,Oui,Jamais,3,Non,Pas du tout clairs,Anyone whole tax product possible write enjoy bar.,10
Ethan Adams,6,Partiellement,3,Trop difficiles,Rarement,Oui,Souvent,5,Non,Peu clairs,Increase image popular age war loss hard from anything anyone speech machine half.,10
Tommy Walter,7,Oui,1,Adaptées,Toujours,Oui,Souvent,4,Non,Peu clairs,Instead national community where street situation these different.,10
Matthew Foster,3,Partiellement,3,Adaptées,Souvent,Non,Parfois,3,Non,Très clairs,Address save dog listen agency finish save follow whole fish interview cut.,10
Judy Baker,3,Partiellement,5,Trop faciles,Souvent,Oui,Souvent,2,Non,Très clairs,Perform late would international worry take evening never college crime pattern within population.,10
Justin Baker,2,Oui,5,Trop difficiles,Toujours,Non,Souvent,2,Oui,Peu clairs,Whole join technology whole garden serious girl crime.,10
Stephanie Ross,9,Partiellement,4,Trop difficiles,Toujours,Non,Parfois,2,Non,Assez clairs,Check charge apply century fish serious decision agreement conference read and situation behavior kid total.,10
Zachary Hicks,8,Partiellement,5,Trop faciles,Souvent,Non,Souvent,1,Oui,Assez clairs,News thought young quite travel side cell style soldier last third dream group finally process.,10
Anthony Rodriguez,9,Oui,4,Trop faciles,Toujours,Oui,Souvent,4,Non,Très clairs,Sometimes statement near wife add country care bill.,10
Rebecca Henderson,4,Non,2,Trop faciles,Souvent,Non,Jamais,1,Oui,Peu clairs,Very show government into find marriage individual group professional quality main above brother.,10
James Ferrell,7,Non,4,Trop faciles,Toujours,Non,Jamais,5,Non,Peu clairs,Resource present focus can according realize assume bed property senior leader she business expert parent.,10
Tricia Valencia,10,Partiellement,5,Trop faciles,Souvent,Non,Parfois,5,Oui,Peu clairs,Finish simply growth stop Mrs civil leg article important people capital carry out prevent star home.,10
Nathan Maldonado,7,Oui,5,Adaptées,Souvent,Non,Parfois,4,Oui,Assez clairs,Live sort alone fact center that yard option address site place memory.,10
Debra Davidson,8,Oui,2,Trop faciles,Rarement,Non,Jamais,2,Oui,Assez clairs,Us either even treatment once same keep goal letter chair tonight area majority skin fill by.,10
Jeffrey Chavez,6,Partiellement,1,Trop difficiles,Toujours,Non,Parfois,1,Non,Pas du tout clairs,City yeah most trouble country policy hand radio national size conference indeed.,10
Sherri Baker,8,Oui,5,Trop faciles,Rarement,Non,Jamais,2,Oui,Assez clairs,Chair surface notice me spring condition she.,10
Cassandra Gaines,10,Partiellement,2,Trop faciles,Rarement,Oui,Souvent,2,Oui,Assez clairs,Pull news usually put civil you office for support soon from stage region everything.,10
Elizabeth Fowler,5,Oui,5,Adaptées,Rarement,Oui,Souvent,3,Oui,Assez clairs,Month security throughout worry population wear interview fly plant large she large.,10
Brittany Farmer,8,Partiellement,4,Adaptées,Toujours,Oui,Parfois,5,Oui,Assez clairs,Price deep manage most add nothing result child.,10
Paula Moreno,10,Partiellement,5,Adaptées,Toujours,Non,Parfois,5,Oui,Assez clairs,Successful always wonder example figure bank sort since international structure next season guy note.,10
Fred Smith,7,Non,2,Trop faciles,Toujours,Oui,Souvent,5,Non,Assez clairs,Partner discover recently trial individual term serious join nothing all church.,10
Sherry Decker,10,Oui,2,Adaptées,Rarement,Oui,Souvent,5,Oui,Très clairs,Staff side provide field top chance accept skin determine record natural both do.,10
Anthony Humphrey,8,Partiellement,2,Trop difficiles,Rarement,Oui,Souvent,4,Non,Peu clairs,Care determine some prove song room thousand example cup safe street.,10
Angelica Tucker,1,Partiellement,5,Adaptées,Toujours,Non,Parfois,3,Oui,Pas du tout clairs,Scene bring knowledge business down deal newspaper in.,10
Philip Cannon,3,Non,4,Trop faciles,Toujours,Non,Souvent,5,Non,Peu clairs,Near term certain process into government behavior receive artist.,10
John Pierce,4,Oui,1,Trop difficiles,Rarement,Oui,Souvent,1,Non,Assez clairs,Hold describe thought business democratic quality place certain.,10
Shane Henderson,6,Non,3,Trop faciles,Toujours,Non,Souvent,5,Non,Peu clairs,Common behavior scene war expert doctor free could exist actually list yard indeed.,10
Joshua Blair,9,Non,5,Adaptées,Rarement,Non,Souvent,4,Oui,Pas du tout clairs,Design true every performance early say memory.,10
Eric Carney,9,Partiellement,4,Trop faciles,Souvent,Non,Parfois,3,Non,Pas du tout clairs,Concern none outside live apply Republican piece now television audience air establish.,10
Allison Hill,4,Partiellement,2,Trop difficiles,Toujours,Non,Souvent,2,Oui,Assez clairs,My card remain throw total short world rule make note door.,11
Noah Rhodes,10,Non,4,Trop difficiles,Rarement,Oui,Jamais,4,Oui,Très clairs,Most skill expert machine really hit food above century section industry day treat born.,11
Angie Henderson,4,Non,5,Adaptées,Toujours,Oui,Parfois,2,Non,Très clairs,Identify project upon upon computer training sister right arm house child rest impact piece continue because.,11
Daniel Wagner,10,Oui,5,Adaptées,Rarement,Non,Souvent,5,Oui,Assez clairs,Sense section general parent hear difficult expert some dog high family north beyond article.,11
Cristian Santos,9,Non,2,Trop faciles,Rarement,Non,Jamais,1,Oui,Assez clairs,Our remain actually issue stage in born size space million machine American southern.,11
Connie Lawrence,2,Non,3,Trop difficiles,Toujours,Oui,Jamais,3,Non,Peu clairs,Ahead give again memory guess head leader form Mrs off step live.,11
Abigail Shaffer,8,Non,5,Trop faciles,Rarement,Oui,Souvent,1,Oui,Peu clairs,Especially range would second will law blood player which law whom Republican.,11
Gina Moore,10,Partiellement,4,Adaptées,Souvent,Oui,Souvent,2,Non,Pas du tout clairs,Within officer course color compare show threat section lot herself particular will imagine civil.,11
Gabrielle Davis,10,Oui,4,Trop faciles,Souvent,Oui,Souvent,1,Non,Peu clairs,Picture medical administration accept born hear politics prevent.,11
Ryan Munoz,3,Partiellement,4,Trop difficiles,Rarement,Non,Souvent,4,Non,Pas du tout clairs,Fast inside plant station resource particular performance learn level think red bed pressure.,11
Monica Herrera,5,Non,5,Trop difficiles,Souvent,Oui,Parfois,1,Non,Très clairs,Ready use fund who goal majority quite expert here watch again skill.,11
Jamie Arnold,8,Partiellement,3,Trop difficiles,Rarement,Oui,Parfois,4,Non,Très clairs,Customer nature government future case whom vote role join.,11
Lisa Hensley,6,Oui,4,Trop faciles,Souvent,Non,Jamais,5,Oui,Pas du tout clairs,Increase newspaper picture writer shake nature particular part write test federal eight claim between note.,11
Michele Williams,7,Non,3,Trop difficiles,Souvent,Oui,Souvent,2,Non,Assez clairs,Bill charge situation shoulder hope very this single Mr painting major claim part success only.,11
Dylan Miller,5,Partiellement,3,Adaptées,Toujours,Oui,Jamais,2,Non,Assez clairs,Collection middle police defense thing reach store memory fly cost respond land.,11
Brian Ramirez,3,Oui,2,Trop difficiles,Rarement,Non,Souvent,1,Oui,Pas du tout clairs,Stop ability political indicate team building note audience.,11
Holly Wood,7,Partiellement,4,Adaptées,Rarement,Non,Parfois,2,Non,Pas du tout clairs,Must product own keep yard hope join mouth choose hot.,11
Derek Zuniga,5,Partiellement,3,Trop faciles,Rarement,Non,Parfois,5,Oui,Peu clairs,Environment responsibility campaign use somebody decision glass sort doctor manage available sometimes in skin everyone its.,11
Lisa Jackson,8,Partiellement,3,Adaptées,Toujours,Non,Parfois,1,Oui,Assez clairs,Note mouth open chair foreign include feel usually seek set upon opportunity.,11
Carla Gray,8,Partiellement,2,Adaptées,Souvent,Non,Jamais,5,Non,Assez clairs,Because to city indicate home get tax realize beyond into house information believe learn.,11
Margaret Hawkins DDS,6,Non,5,Adaptées,Souvent,Oui,Parfois,4,Oui,Pas du tout clairs,Particular particular central true save nor even.,11
Patty Perez,7,Non,5,Adaptées,Souvent,Oui,Souvent,2,Oui,Très clairs,Teach deep world section nation share avoid today admit hospital find mouth reach cultural group.,11
Ethan Adams,6,Oui,5,Adaptées,Souvent,Oui,Jamais,2,Non,Très clairs,Against box floor nothing state no north against create.,11
Tommy Walter,4,Non,5,Trop faciles,Rarement,Non,Parfois,3,Non,Très clairs,Them we why themselves property measure miss high property situation room company across rather.,11
Matthew Foster,8,Oui,3,Trop faciles,Toujours,Non,Parfois,1,Non,Peu clairs,Effect wind fire table growth range east rather describe night director paper could yes relationship.,11
Judy Baker,6,Non,4,Trop difficiles,Rarement,Non,Parfois,1,Non,Très clairs,Himself everything foot style resource protect close discover account short.,11
Justin Baker,7,Partiellement,5,Trop faciles,Rarement,Oui,Parfois,3,Non,Pas du tout clairs,Candidate church source fish rise investment discuss.,11
Stephanie Ross,9,Oui,5,Trop difficiles,Souvent,Non,Souvent,2,Oui,Peu clairs,More factor him support bring support ten experience tell consider speak station to pass between.,11
Zachary Hicks,8,Partiellement,5,Trop difficiles,Souvent,Oui,Jamais,2,Non,Assez clairs,Garden budget management hard much instead spring bad.,11
Anthony Rodriguez,7,Non,4,Trop difficiles,Souvent,Non,Parfois,4,Non,Pas du tout clairs,Officer bad also choose hold positive lose finish support under our region see its.,11
Rebecca Henderson,8,Oui,3,Trop faciles,Toujours,Oui,Souvent,3,Oui,Assez clairs,Media decide another on rate special case whatever bad news history listen together.,11
James Ferrell,4,Non,2,Trop faciles,Toujours,Non,Souvent,1,Oui,Pas du tout clairs,Successful heart instead note movement sort oil myself audience.,11
Tricia Valencia,10,Oui,2,Adaptées,Rarement,Oui,Jamais,4,Non,Assez clairs,Huge series area mission democratic sport all out old attention reason over risk individual.,11
Nathan Maldonado,5,Partiellement,4,Adaptées,Rarement,Oui,Jamais,5,Oui,Très clairs,Teacher value future only increase write feeling people give improve.,11
Debra Davidson,2,Partiellement,4,Adaptées,Souvent,Non,Souvent,3,Non,Assez clairs,Dream put walk probably stand song camera old detail that.,11
Jeffrey Chavez,10,Oui,5,Trop difficiles,Souvent,Non,Souvent,5,Non,Peu clairs,Wife class town when edge task customer world news.,11
Sherri Baker,9,Partiellement,3,Trop faciles,Souvent,Non,Parfois,4,Non,Assez clairs,Again listen maybe above may today commercial along still.,11
Cassandra Gaines,6,Oui,2,Trop difficiles,Toujours,Non,Parfois,4,Oui,Pas du tout clairs,Body yeah together doctor fast TV result easy call gas pull production again.,11
Elizabeth Fowler,9,Non,2,Adaptées,Souvent,Oui,Jamais,5,Non,Assez clairs,Record note around bring blue today easy.,11
Brittany Farmer,8,Partiellement,5,Adaptées,Toujours,Oui,Souvent,4,Non,Assez clairs,History response eight north early try western black challenge wrong military method buy.,11
Paula Moreno,6,Oui,5,Trop difficiles,Toujours,Non,Parfois,5,Non,Pas du tout clairs,Magazine reduce suggest popular consider whose drive study short lose order across TV.,11
Fred Smith,5,Oui,3,Trop faciles,Souvent,Oui,Souvent,4,Non,Peu clairs,Down explain character general star that only effect week level.,11
Sherry Decker,10,Non,3,Adaptées,Toujours,Oui,Jamais,5,Oui,Assez clairs,Before yard find write product cover son what green be out per phone civil.,11
Anthony Humphrey,3,Non,4,Trop faciles,Rarement,Non,Souvent,1,Oui,Très clairs,Door authority them side garden door law old quite that assume baby alone.,11
Angelica Tucker,4,Oui,5,Trop faciles,Souvent,Non,Parfois,4,Non,Pas du tout clairs,Usually military range statement member return third rich actually door matter mother vote fund guy.,11
Philip Cannon,2,Non,2,Trop faciles,Toujours,Non,Parfois,1,Non,Assez clairs,Oil important half stop glass adult boy before hair true appear.,11
John Pierce,5,Non,5,Trop faciles,Toujours,Oui,Parfois,4,Oui,Très clairs,Market end cause ahead themselves probably standard take apply.,11
Shane Henderson,5,Non,2,Trop difficiles,Rarement,Oui,Parfois,4,Non,Peu clairs,Big fast however president relationship behind if military onto he these financial town.,11
Joshua Blair,4,Partiellement,2,Trop difficiles,Rarement,Oui,Parfois,4,Non,Assez clairs,Near now pressure read west rest focus.,11
Eric Carney,7,Oui,3,Trop faciles,Toujours,Non,Parfois,1,Oui,Peu clairs,Yard clearly rate course computer vote feeling senior worry.,11
Allison Hill,9,Oui,3,Trop faciles,Toujours,Oui,Souvent,4,Oui,Peu clairs,Trip fact push force order face story here bit partner leg scene modern check put analysis.,12
Noah Rhodes,1,Oui,1,Adaptées,Toujours,Non,Souvent,1,Oui,Peu clairs,Politics card street modern perform century miss think red.,12
Angie Henderson,2,Partiellement,4,Trop faciles,Toujours,Non,Jamais,3,Non,Pas du tout clairs,Point key to sell party society discussion real move job personal mean.,12
Daniel Wagner,3,Oui,3,Adaptées,Rarement,Oui,Parfois,1,Non,Pas du tout clairs,Capital with painting today weight treatment name military sign nor outside computer work computer bar.,12
Cristian Santos,8,Non,4,Trop difficiles,Souvent,Oui,Souvent,2,Non,Peu clairs,Very much send get southern old degree edge very between structure hair.,12
Connie Lawrence,7,Non,4,Trop difficiles,Toujours,Oui,Souvent,2,Non,Peu clairs,There yeah play country perform understand same glass education white listen.,12
Abigail Shaffer,4,Partiellement,2,Adaptées,Toujours,Non,Souvent,2,Oui,Peu clairs,Staff world class husband series north ball arm happen late space change.,12
Gina Moore,9,Oui,2,Trop difficiles,Toujours,Non,Jamais,5,Non,Assez clairs,Less house hour break cold carry sell couple most body protect shake listen radio break leave.,12
